"只有",,"“我们的任务只有一个字","干！","Neutral","Neutral","Neutral","Expansion"
"只要","就","只要掌握一定人币防伪技能","就可分辨出真伪币。","Neutral","Positive","Positive","Contingency"
,"却","这样触目惊心的新型犯罪","却在侦破前一直没被披露。","Negative","Negative","Negative","Comparison"
,"但","销售业务随之成为公司最大收入来源","但装卸业务仍贡献主要利润。","Neutral","Positive","Neutral","Comparison"
"虽然","但","公司账上现金虽然不多","但资产负债表和现金流量表相当漂亮。","Negative","Positive","Positive","Comparison"
,"且","投资者请控制好风险","且风险自负。","Neutral","Neutral","Neutral","Expansion"
"还",,"颠庄一涨就搞坏心眼出的还是11月的公告","真坏！","Negative","Negative","Negative","Expansion"
"又",,"又不做","改名干什么？","Negative","Neutral","Negative","Contingency"
,"终于","大盘跌","终于红盘3.91抛光！","Negative","Positive","Positive","Temporal"
,"并且","*ST远东周一封住涨停","并且已连续八个交易日收于涨停。","Positive","Positive","Positive","Expansion"
,"未来","<5>该股前期主力已完全满仓控盘","未来走势完全取决于主力意向。","Neutral","Neutral","Neutral","Expansion"
"然后",,"然后清理公司内部问题","看看有没有漏洞。","Neutral","Negative","Negative","Temporal"
,"以及","主要变化是:收回分红款、解除担保","以及董事会换成了泛海的人。","Neutral","Neutral","Neutral","Expansion"
,"又","(1)2000年9月","又一个重要角色登场。","Neutral","Positive","Positive","Expansion"
,"而","青岛健特生物持有90%无锡健特股权","而上海华馨持有10%。","Neutral","Neutral","Neutral","Comparison"
"还",,"(5)公司还承诺去找好的项目","是潜在的利好。","Positive","Positive","Positive","Expansion"
,"说","就这几个问题","稍微说几句。","Neutral","Neutral","Neutral","Expansion"
"又",,"主力又身处沿海发达城市","在资本市场刃有余(即将融入金融领域)。","Positive","Positive","Positive","Contingency"
"表示",,"该人士表示","MIN生控股有意借华馨实业整体上市。","Neutral","Neutral","Neutral","Expansion"
"但",,"但问题是","明年股市到底能否见底。","Neutral","Negative","Negative","Expansion"
"而",,"而一直到2006年","汪远思才着手开发“蓝堡湾”。","Neutral","Neutral","Neutral","Temporal"
,"比如","开出的条件非常诱人","比如“月息10%-15%”。","Positive","Neutral","Positive","Expansion"
,"反而","如同西班牙牛一样","大幅的震荡反而给我们提供了机会。","Neutral","Positive","Positive","Expansion"
,"如","三间屋子里没有床和炕","家中一贫如洗。","Negative","Negative","Negative","Expansion"
"说",,"马学义说","她不怕蚊子咬。","Neutral","Positive","Positive","Expansion"
,"说明","房价涨得快是正常现象","说明居民的收入多了。","Neutral","Positive","Positive","Expansion"
,"交代","全国人民的血汗钱如此打水漂","当局如何向国人交代？","Negative","Negative","Negative","Expansion"
"因此",,"因此部署应变","自成为两地政府的迫切议题。","Neutral","Neutral","Neutral","Contingency"
,"还是","真不知是在做房产广告","还是在抗震救灾。","Negative","Positive","Negative","Comparison"
"不管","都","不管哪个城市房地产项目的前期圈地","都让外界充满钱权交易的联想。","Neutral","Neutral","Neutral","Expansion"
"还是",,"还是万科员工的工资不高","一捐就没钱吃饭？","Negative","Negative","Negative","Contingency"
,"更","员工捐款不仅仅是公司行为","更是一个公民行为。","Neutral","Neutral","Neutral","Expansion"
,"也","员工们都认为是一件很光荣的事情","宁可省吃节用也要尽份爱心。","Positive","Positive","Positive","Contingency"
,"如","这些人财源滚滚","其个人名下的财富如雪球般加速膨胀。","Positive","Positive","Positive","Expansion"
,"也","为什么中国富豪如此守财","国难当前也如此“葛朗台”呢？","Negative","Negative","Negative","Expansion"
"不仅","更","“散财”不仅是一种慷慨助人的举动","更重要的是彰显自身的荣耀感。","Positive","Positive","Positive","Expansion"
"如果","会","我想如果他们能象邵逸夫先生一样热爱慈善","那一定会永远成为国人心目中的头条。","Positive","Positive","Positive","Contingency"
,"可能","不要做梦了","全duck这种模式不可能赚大钱的。","Negative","Negative","Negative","Expansion"
,"等","中国娱乐体育领域票务营销机构","提供中国各地区的详细艺术演出等信息。","Neutral","Neutral","Neutral","Expansion"
,"等","湖南网络新闻总站","提供新闻评论、时势分析、热点追踪等。","Neutral","Neutral","Neutral","Expansion"
,"同时","提供江苏音乐台在线收听及主持人互动博客","同时提供个人博客平台业务。","Neutral","Neutral","Neutral","Expansion"
,"等","河南人民广播电台主办","含收听指南、在线广播及专题内容等。","Neutral","Neutral","Neutral","Expansion"
,"等","含热门歌曲","推荐专辑等网页。","Neutral","Neutral","Neutral","Expansion"
"等",,"提供香港演艺、文学及展览等文艺活动消息","含各类艺评。","Neutral","Neutral","Neutral","Expansion"
,"并","包括节目内容、主持人档案、活动快讯","并可线上收听。","Neutral","Neutral","Neutral","Expansion"
,"等","含网上直播雷霆881及叱903节目","新闻财经等。","Neutral","Neutral","Neutral","Expansion"
,"等","·当前积分排名","机会人人均等！","Neutral","Neutral","Neutral","Expansion"
,"也","·参加短信积分","发短信也有奖！","Neutral","Positive","Positive","Expansion"
,"不过","·登记短信时提示已经受理","为什么通不过审核？","Positive","Negative","Negative","Comparison"
"更",,"**随着汽车更多的走入百姓家庭","驾驶汽车已成为人们生活的普遍需求。","Neutral","Neutral","Neutral","Contingency"
"如","可","**如需提供车辆","可提供雪佛兰科西嘉一辆。","Neutral","Neutral","Neutral","Expansion"
,"但","谁都知道海南温泉好","但游人不知的是海南哪些地方的温泉最好。","Positive","Neutral","Neutral","Comparison"
"只有",,"**只有周六周日及国定假日可以租赁","价格优惠。","Neutral","Positive","Positive","Expansion"
,"等","公司可根据客户的需要选配多种车型","包括长租短包、自驾出租等租赁形式。","Neutral","Neutral","Neutral","Expansion"
,"再","超限价格仅仅1元1公里","长租均可再优惠！","Positive","Positive","Positive","Expansion"
,"再","超限价格仅仅1元1公里","长包短包均可再优惠！","Positive","Positive","Positive","Expansion"
,"即","合肥城区","十分钟即可到达。","Neutral","Neutral","Neutral","Expansion"
,"还","除一般各种品牌的电脑快速维修外","本公司还有各式中古电脑零件可供挑选。","Neutral","Neutral","Neutral","Expansion"
,"或","・您在本留言板发表的言论","本网站有权在网站内转载或引用。","Neutral","Neutral","Neutral","Expansion"
,"又","他急忙拿起镰刀到山坡上割了鲜嫩的草喂牛","又牵牛到小河边饮了清泉。","Neutral","Neutral","Neutral","Temporal"
"接着",,"”接着高唤了一声：“牛童","送客出洞。","Neutral","Neutral","Neutral","Expansion"
"比如",,"比如三峡在线自己的业余时间","几乎都在踢足球、打乒乓球、写博客。","Neutral","Neutral","Neutral","Expansion"
"不过",,"只不过","平时我们很少看到关于这方面的报道而已。","Neutral","Negative","Neutral","Comparison"
"目前",,"目前全县已培养各类劳务带头人130余人","通过他们不断开辟新的就业基地。","Neutral","Neutral","Neutral","Temporal"
,"又","参观完李家大院","田成平一行又走进了万荣笑话博览园。","Neutral","Neutral","Neutral","Temporal"
,"且","3.电脑萤幕位置应在视线10~20度间","且与眼睛距离在60~70公分间。","Neutral","Neutral","Neutral","Expansion"
"目前",,"目前白内障手术的技术已经突破此限制","其适应症大大放宽。","Positive","Positive","Positive","Contingency"
,"也","平常配戴凹透镜将焦点往后移","远方物体也可看得清楚了。","Neutral","Positive","Positive","Expansion"
,"而","形成为眼镜的形状者就是框架","而对於维持眼镜的机能上十分要。","Neutral","Neutral","Neutral","Expansion"
,"或","◎请搭车至台中","於台中干城站搭国光号或其他客运至南投市。","Neutral","Neutral","Neutral","Temporal"
"以及",,"--适合中小型企业以及个人建立网站","入门基础服务首选！","Positive","Neutral","Positive","Expansion"
"并",,"并用最有效的沟通模式「面对面营销」","支持企业与客户间在线互动。","Positive","Positive","Positive","Expansion"
,"也","随着网站视频广告技术在企业数字台的应用","网站视频也出现了企业数字台的网站视频。","Neutral","Neutral","Neutral","Temporal"
,"更","企业无需额外购置任何软/硬件","更不会增加企业任何的营运成本。","Neutral","Positive","Positive","Expansion"
,"更","全面生动的表现和创意","更具象的突现产品的好处。","Positive","Positive","Positive","Expansion"
